participant_id,pair_id,trial_id,ref_set_num,ref_set_size,ref_area_multiplier,ref_resulting_area,ref_radius_multiplier,ref_resulting_radius,targ_set_num,targ_set_size,targ_area_multiplier,targ_resulting_area,targ_radius_multiplier,targ_resulting_radius,set_size_ratio,resulting_area_ratio,resulting_radius_ratio
14945,190,14945_190,542,5,1.24,12390.08,1.1135528725660044,140.13001236142944,890,8,1,13634,1,185.87373511941058,0.625,0.9087633856535132,0.7538989425881281
14945,49,14945_49,510,5,1.2,12834,1.0954451150103321,142.83703429136847,1039,10,1,12598,1,199.90066247770466,0.5,1.0187331322432132,0.7145400746598295
14945,98,14945_98,521,5,1,18907,1,173.24280638961798,667,6,1.34,19578.74,1.1575836902790226,193.1974152021186,0.8333333333333334,0.9656903355374247,0.8967138934461178
14945,266,14945_266,556,5,0.89,15834.880000000001,0.9433981132056604,158.35971955345337,1015,10,1,14282,1,213.0911967907423,0.5,1.1087298697661392,0.743154677144942
14945,405,14945_405,587,5,1,12876,1,142.91021179992185,659,6,0.69,12693.24,0.8306623862918074,155.61010119582662,0.8333333333333334,1.0143982151129263,0.9183864717116104
14945,83,14945_83,516,5,1.14,12767.999999999998,1.0677078252031311,142.4125321144399,903,9,1,13796,1,198.47885899041856,0.5555555555555556,0.925485648013917,0.7175199053382042
14945,350,14945_350,572,5,1,14173,1,150.09726129327478,897,8,0.91,14744.730000000001,0.9539392014169457,193.46823213116738,0.625,0.9612247901453603,0.7758238116917924
14945,102,14945_102,521,5,1.01,19096.07,1.004987562112089,174.1068656469588,709,7,1,13870,1,175.6280122051119,0.7142857142857143,1.3767894736842106,0.9913388158355024
14945,48,14945_48,510,5,1,10695,1,130.39177621420242,925,9,0.78,11774.1,0.8831760866327847,183.43753429230327,0.5555555555555556,0.9083496827783015,0.710823860107203
14945,97,14945_97,521,5,0.89,16827.23,0.9433981132056604,163.43693667441912,637,6,1,12030,1,151.27846016660348,0.8333333333333334,1.3987722360764754,1.0803714983245167
